time,open,high,low,close,vwap,volume,count
1500133500,153.1,155.12739,153.1,154.00156,154.18313,3678.95824676,362
1500134400,154.342,155.958,152.1,153.49845,153.21651,6885.15363703,692
1500135300,153.163,155.94891,152.0,155.51402,153.00086,10351.14846726,774
1500136200,155.5,155.8937,152.80739,154.98,154.61064,5322.00813407,733
1500137100,154.98,156.89,152.57323,154.8999,154.34485,6569.52043307,950
1500138000,154.8999,155.4,152.73967,155.1,154.34955,4999.88030245,668
1500138900,155.40619,158.3115,155.40161,157.87,157.18532,4043.11637405,486
1500139800,157.87,158.605,156.31272,157.248,157.31723,3488.26573627,534
1500140700,157.058,157.872,156.25,157.47314,157.46463,1607.73775561,304
1500141600,157.47314,159.0,157.473,158.84277,158.47949,1057.05255635,290
1500142500,158.50008,159.4,155.54404,156.30011,158.10183,2613.90528593,357
1500143400,156.30012,157.51598,156.09501,156.5,157.11624,1348.26732022,168
1500144300,156.5,156.5,155.00002,155.3,155.80349,1387.88112767,253
1500145200,155.3,157.1349,155.29999,157.1349,155.94147,1386.22027476,235
1500146100,157.0,157.4775,156.4,156.4,156.82268,437.66019959,163
1500147000,156.4,157.99998,156.4,156.498,157.37831,1378.5871958,260
1500147900,156.63225,157.91,156.63223,157.44934,157.17833,202.66084461,73
1500148800,157.44991,157.45,156.1,156.15,156.66365,766.33389092,127
1500149700,156.1,156.14999,154.00001,154.00001,154.9524,1279.24247525,289
1500150600,154.49948,154.99681,153.41,153.41,154.08154,2404.82738231,351
1500151500,153.41,153.745,152.59849,152.62278,153.1765,1204.75332268,294
1500152400,152.62278,152.74181,152.0,152.74181,152.24907,3529.9945093,478
1500153300,152.79994,154.49,152.23701,152.5114,153.41569,2647.54315228,474
1500154200,153.36514,154.57491,152.51129,154.40597,154.16822,1022.07176549,242
1500155100,154.40597,154.50007,153.28845,154.079,154.07656,1923.76572864,338
1500156000,153.44011,154.0994,153.01869,153.7,153.24039,2690.28438047,323
1500156900,153.7,154.036,153.22521,153.40724,153.79647,1614.68164038,302
1500157800,153.40724,153.9862,152.52921,152.814,153.12999,1090.47422788,263
1500158700,152.63255,152.994,151.99002,152.0,152.10973,1123.23237447,191
1500159600,151.99002,154.0,151.5,152.8,152.82512,1352.56372822,298
1500160500,152.8,152.86012,151.1,151.16,151.50873,2685.74143503,459
1500161400,151.16,151.20001,149.10107,149.10107,150.35105,8451.14236093,1207
1500162300,149.10107,149.54417,147.9438,147.9438,148.65508,4268.67934782,595
1500163200,147.7701,149.47949,147.5,148.0,148.09426,4931.21379058,696
1500164100,148.0,148.0,146.02,146.26143,146.85684,5087.96676041,564
1500165000,146.3,147.1,146.02,146.64958,146.337,3480.30052616,323
1500165900,146.9,146.9,145.2,145.2,146.12211,2573.00698151,326
1500166800,145.2,146.27295,144.4441,144.4441,145.22184,3020.96912954,462
1500167700,144.5,146.99192,144.4441,146.645,145.92804,2986.55241194,433
1500168600,146.645,149.44008,145.5,145.5,148.33104,4101.51517953,383
1500169500,145.87767,146.416,145.02146,146.29949,145.74087,1965.37755047,309
1500170400,146.29999,148.11564,145.404,147.8,147.13942,389.92129977,104
1500171300,147.82009,148.26983,147.8,147.8,147.82135,1089.7686278,282
1500172200,147.8,149.04306,147.8,149.04306,148.14564,3736.04360479,413
1500173100,149.11,149.1359,147.034,147.40864,148.30588,1433.08333706,211
1500174000,147.40866,148.96391,147.40866,148.90001,148.21947,253.78942914,88
1500174900,148.90001,148.97999,146.7,147.5,147.90679,830.03472027,130
1500175800,147.24911,147.365,145.60901,145.792,146.04557,1083.61104003,189
1500176700,145.792,145.961,143.98,144.99978,144.73856,4418.01849336,362
1500177600,144.99978,146.0,144.0,145.15001,145.37808,1316.16478834,155
1500178500,145.15001,145.63192,144.00106,145.1,144.9309,701.46984994,119
1500179400,145.09999,145.1,144.90005,145.1,145.06597,487.34103993,109
1500180300,144.90005,145.2323,143.416,143.57613,144.38619,1554.70261903,249
1500181200,143.41612,143.66034,142.7666,143.51899,143.1111,1434.32964068,380
1500182100,143.49856,143.5,141.284,141.284,142.09505,2413.59587736,522
1500183000,141.327,141.56,139.4,139.679,140.36763,5952.32572091,764
1500183900,139.57541,139.99999,138.01001,138.9,139.10699,4026.60502535,883
1500184800,138.9,139.99998,138.0,138.1,138.65796,2952.48633601,602
1500185700,139.801,139.801,138.0,138.0,138.53438,2329.071122,479
1500186600,138.53431,138.53431,135.98,135.98,136.98073,4979.21747162,798
1500187500,136.0,142.4,135.56,142.16368,138.50087,5856.3523244,585
1500188400,142.1,142.1,138.615,139.20808,140.24667,4491.78052136,563
1500189300,139.20808,140.243,138.61825,139.3005,139.70061,2992.36608433,351
1500190200,139.305,139.913,138.48,138.48049,139.19522,2608.94483752,291
1500191100,138.4805,138.7,136.67,136.84011,137.43244,4614.19364109,534
1500192000,137.48984,137.9899,136.5,136.80002,137.15806,3556.75400224,486
1500192900,136.99999,136.99999,136.0,136.10003,136.36974,3803.19674244,417
1500193800,136.10003,136.439,134.22326,134.27508,135.11534,6346.22158285,1021
1500194700,134.27508,134.8,133.8,134.22,134.25991,5094.98318887,682
1500195600,134.22001,134.41,132.52,132.52,133.3137,7519.50837245,794
1500196500,132.52,134.27778,132.0,132.5,133.27591,7263.48931741,824
1500197400,132.5,132.5,131.25,132.3,132.0961,6526.2190924,497
1500198300,132.3,134.0,132.3,132.9,133.05498,5493.43671214,660
1500199200,132.89866,133.063,131.001,131.78,132.15351,5508.8185993,635
1500200100,131.78,132.8,131.02,131.55,131.88174,3649.89022888,439
1500201000,131.1,131.1,129.19695,129.2,130.13703,8380.36973817,663
1500201900,129.19695,129.19695,125.11,125.4,127.58643,9887.88990867,1070
1500202800,125.11,125.24401,122.35,123.19999,123.48415,16075.541999,1304
1500203700,123.74676,127.528,123.0,125.00002,124.86261,12963.08905914,945
1500204600,125.0,125.0,121.35,124.0,123.31611,18343.44310241,859
1500205500,124.0,124.0,120.0,120.01849,121.13317,17448.65177605,891
1500206400,120.01849,122.3202,120.0,121.91236,121.51539,8956.02061709,590
1500207300,121.91236,121.91236,118.877,119.71,119.42869,14400.05618083,811
1500208200,119.71,120.0,118.00001,118.08772,119.09567,9192.42048627,865
1500209100,118.08772,119.75,117.36941,119.75,118.24859,8804.21498869,743
1500210000,119.75,120.09999,119.597,120.09999,119.75098,10870.63965866,509
1500210900,120.1,126.79998,120.1,126.0,125.02639,8692.25548186,705
1500211800,126.0,133.04944,126.0,133.04944,129.50325,8685.0032808,546
1500212700,133.202,135.0,133.2,135.0,133.30951,9683.38056861,861
1500213600,135.0,136.80013,135.0,135.0,136.55222,13126.65819529,985
1500214500,135.0,135.0,125.0,128.19998,130.47085,16756.45909796,1476
1500215400,128.19998,128.47965,126.63911,127.5,127.79004,9112.70201662,644
1500216300,127.51,131.0,127.51,130.55323,129.2322,5601.40354713,610
1500217200,130.55322,134.98764,130.3,133.8511,133.17461,5238.07014317,813
1500218100,133.8511,136.80013,132.0,134.50754,135.23949,5745.53056818,858
1500219000,134.50754,136.60824,133.8511,134.0,134.95494,3833.90785671,519
1500219900,134.0,134.0,131.0,132.5,132.041,5003.02242581,555
1500220800,132.83,135.58,132.5137,134.04862,134.14077,2819.99950397,452
1500221700,134.04862,135.031,132.69526,134.1,134.26627,2826.65751871,593
1500222600,134.3731,137.8,134.02047,137.8,135.2876,2376.23930932,470
1500223500,137.9,141.96111,137.87183,141.96111,139.76139,8448.39458505,723
1500224400,141.96111,142.17,139.99998,139.99998,141.40381,7543.80972997,651
1500225300,139.99998,144.60146,139.79386,142.69,142.65412,6259.08396092,952
1500226200,142.39247,142.69,139.0,140.0,140.55731,4134.89303801,491
1500227100,140.0,142.39236,138.91,138.91,140.42309,4496.27890274,594
1500228000,138.91,138.91,135.69441,137.37,136.50994,3658.42098258,532
1500228900,137.0,137.01,132.52468,132.52468,134.75014,3666.15146288,473
1500229800,132.52468,134.21584,131.44482,134.03399,132.83256,7660.62143591,782
1500230700,134.03392,136.642,133.402,133.68,135.08177,3631.33989492,522
1500231600,133.68,133.83536,129.5,129.5,131.50352,4131.3814055,636
1500232500,129.42851,132.6,128.668,131.40002,130.50817,7107.557983,679
1500233400,131.40002,131.40002,125.5,126.048,128.06368,4236.50008658,561
1500234300,126.048,128.35832,125.6,126.69995,126.79966,7510.33265513,824
1500235200,126.0,132.21755,125.56009,131.019,129.35094,10498.79467821,904
1500236100,131.11774,134.44596,130.58,133.40507,133.04323,3561.82850742,621
1500237000,133.40505,133.40505,128.64544,131.99995,130.58938,8343.88108103,728
